index,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2022,2012-22,2022
,"0,1","0,2","0,2","0,3","0,5","0,5","0,6","0,7","0,9","1,0","1,4","1,5","1,3","1,6","1,0","1,9","2,4","2,1","3,0","5,0","5,2","5,4","5,1","--4,4%","14,4%","0,2%"
,"0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,3","0,3","0,4","0,7","0,7","0,7","1,2","1,9","2,5","3,0","3,0","3,8","4,7","4,6","5,1","5,4","4,9%","22,1%","0,3%"
,-,-,-,^,^,^,^,^,^,^,^,^,^,^,"1,1","3,1","4,2","7,0","6,4","6,6","6,4","8,7","9,7","12,1%","74,5%","0,5%"
,^,-,^,^,^,^,^,^,^,^,^,^,"0,2","0,3","0,4","0,8","0,9","0,8","0,9","2,2","2,0","2,6","2,7","6,2%","33,4%","0,1%"
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,♦,-,♦
,^,^,^,^,^,^,^,^,^,^,^,^,"0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,4","0,6","0,6","--0,2%","25,1%",♦
,^,^,^,^,^,^,^,^,^,"0,1","0,1","0,1","0,2","0,4","0,5","0,4","0,5","0,4","0,5","0,5","0,5","0,4","0,3","--24,9%","5,1%",♦
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
,"0,2","0,4","0,4","0,5","0,8","0,8","0,9","1,0","1,3","1,6","2,3","2,4","2,5","3,6","5,1","8,9","11,2","13,6","14,8","19,3","19,1","22,8","23,9","4,9%","25,2%","1,1%"
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"0,1","0,3","0,5","0,7","0,8","1,3","2,2","2,9","3,5","4,4","5,0","6,4","7,7","9,3","9,8","11,8","13,0","13,2","16,3","19,5","22,6","26,8","31,7","18,1%","15,1%","1,5%"
,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,♦,♦,♦
,"0,6","0,7","0,8","1,0","1,3","1,9","3,7","5,5","13,1","27,6","49,4","74,1","103,0","138,3","159,8","185,6","240,9","304,6","365,8","405,3","466,5","655,8","762,7","16,3%","22,2%","36,2%"
,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,♦,"--0,3%",♦
,"1,6","2,1","2,1","2,6","5,2","6,0","9,3","11,7","14,4","16,3","19,5","24,0","27,4","30,0","33,5","32,7","43,5","52,6","60,3","63,3","60,4","68,1","70,0","2,9%","9,8%","3,3%"
,-,-,-,-,-,-,-,^,^,^,^,^,^,^,-,^,^,-,"0,2","0,5","0,5","0,4","0,4","--18,5%","54,4%",♦
,"0,1","0,3","0,4","0,8","1,4","1,9","2,1","2,7","2,9","3,4","3,9","4,5","4,7","5,1","5,0","5,2","5,3","5,8","6,4","6,7","7,8","8,2","8,2","--0,9%","5,6%","0,4%"
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
,"0,1","0,1","0,2","0,1","0,4","0,6","0,6","0,9","1,1","1,5","1,6","2,0","2,1","2,0","2,2","2,4","2,3","2,1","2,1","2,3","2,3","2,6","2,9","8,4%","3,3%","0,1%"
,-,-,-,-,-,-,-,-,-,-,-,-,^,"0,2","0,3","0,6","0,9","1,8","2,8","3,1","2,7","3,4","4,7","35,5%","73,3%","0,2%"
,-,-,-,-,-,^,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,7","1,0","1,1","1,2","1,0","1,0","1,4","1,1","--21,8%","30,4%","0,1%"
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
,^,^,^,^,^,"0,1","0,2","0,4","0,4","0,7","0,8","0,9","0,9","1,1","1,1","1,3","1,7","2,2","2,5","2,7","3,1","3,2","3,4","5,6%","13,9%","0,2%"
,^,^,^,^,^,^,^,^,^,^,"0,1","0,1","0,1","0,2","0,3","0,3","0,3","0,4","0,3","0,3","0,4","0,5","0,5",♦,"12,8%",♦
,^,^,^,^,^,"0,1","0,3","0,4","0,6","0,8","1,0","1,5","1,4","1,6","1,5","1,5","1,5","1,7","1,7","1,9","2,3","2,2","3,5","60,4%","9,6%","0,2%"
,-,-,-,-,-,-,^,^,^,^,^,^,^,"0,4","0,4","0,3","0,4","1,1","1,6","3,7","3,2","3,5","3,4","--3,2%","69,8%","0,2%"
,-,-,-,-,-,-,-,-,^,^,^,^,^,"0,1","0,1","0,2","0,2","0,4","0,5","0,7","1,1","2,4","8,0","236,3%","69,7%","0,4%"
,^,^,^,^,^,^,^,^,^,"0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,4","0,5","0,5","0,6","0,5","--9,3%","22,2%",♦
,"2,6","3,5","4,1","5,3","9,2","12,0","18,6","24,6","36,1","54,8","81,5","113,6","147,7","188,5","214,3","243,1","311,2","387,2","462,1","511,6","574,5","779,2","900,9","15,6%","19,8%","42,8%"
,,,,,,,,,,,,,,,,,,,,,,,,,,
Total World,"31,4","38,4","52,4","63,3","85,6","104,6","133,5","171,5","221,4","276,8","346,4","440,7","530,5","635,5","705,9","831,4","962,1","1141,5","1269,5","1420,6","1594,0","1854,1","2104,8","13,5%","14,8%","100,0%"
,"28,9","34,9","48,7","58,8","78,0","95,4","118,6","151,6","190,1","228,2","269,9","332,0","384,1","444,3","479,8","560,6","609,1","699,7","746,3","832,3","937,3","972,1","1093,7","12,5%","11,0%","52,0%"
,"2,5","3,4","3,7","4,4","7,6","9,3","14,9","19,9","31,3","48,6","76,5","108,7","146,5","191,2","226,1","270,8","353,0","441,8","523,3","588,3","656,6","882,0","1011,2","14,6%","21,3%","48,0%"
,"21,4","25,8","35,1","43,3","57,5","68,1","78,7","99,9","113,2","124,3","139,2","164,8","187,4","209,5","220,8","263,1","266,8","312,2","320,5","364,4","397,4","386,3","420,5","8,8%","8,4%","20,0%"
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
